nome,take,stop,d365_trades,d365_winrate,d365_pontos,d365_dd,d365_pf,d90_trades,d90_winrate,d90_pontos,d30_trades,d30_winrate,d30_pontos,observacao,config_original
DMI3_equilibrado,60.5,110.0,132,78.03030303030303,3041.5,-550.0,1.953448275862069,31,70.96774193548387,341.0,11,63.63636363636363,-16.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,55.5,110.0,132,80.3030303030303,3023.0,-550.0,2.056993006993007,31,77.41935483870968,562.0,11,81.81818181818183,279.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,45.5,125.0,132,86.36363636363636,2937.0,-363.5,2.3053333333333335,31,87.09677419354838,728.5,11,90.9090909090909,330.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,60.5,100.0,133,75.93984962406014,2910.5,-500.0,1.90953125,31,70.96774193548387,431.0,11,63.63636363636363,23.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,55.5,100.0,133,78.19548872180451,2872.0,-500.0,1.9903448275862068,31,77.41935483870968,632.0,11,81.81818181818183,299.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,45.5,110.0,133,84.21052631578947,2786.0,-284.5,2.206060606060606,31,83.87096774193549,633.0,11,90.9090909090909,345.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,60.5,90.0,134,73.13432835820896,2689.0,-476.5,1.8299382716049384,32,65.625,280.5,11,63.63636363636363,63.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,50.5,110.0,132,81.06060606060606,2653.5,-559.0,1.964909090909091,31,77.41935483870968,442.0,11,81.81818181818183,234.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,55.5,90.0,134,75.3731343283582,2635.5,-450.0,1.8873737373737374,32,71.875,466.5,11,81.81818181818183,319.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,45.5,100.0,134,82.08955223880598,2605.0,-254.5,2.0854166666666667,31,83.87096774193549,683.0,11,90.9090909090909,355.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,40.5,117.0,133,86.46616541353383,2551.5,-346.5,2.2115384615384617,31,87.09677419354838,625.5,11,90.9090909090909,288.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,50.5,100.0,133,78.94736842105263,2502.5,-500.0,1.89375,31,77.41935483870968,512.0,11,81.81818181818183,254.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,40.5,125.0,133,86.46616541353383,2407.5,-382.0,2.07,31,87.09677419354838,593.5,11,90.9090909090909,280.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,45.5,90.0,135,79.25925925925927,2348.5,-360.0,1.9319444444444445,32,78.125,507.5,11,90.9090909090909,365.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,50.5,90.0,134,76.11940298507463,2271.0,-450.0,1.7885416666666667,32,71.875,351.5,11,81.81818181818183,274.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,40.5,110.0,134,84.32835820895522,2266.5,-289.5,1.9811688311688311,31,83.87096774193549,503.0,11,90.9090909090909,295.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,40.5,100.0,135,82.22222222222221,2095.5,-259.5,1.873125,31,83.87096774193549,553.0,11,90.9090909090909,305.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,40.5,90.0,136,79.41176470588235,1854.0,-360.0,1.7357142857142858,32,78.125,382.5,11,90.9090909090909,315.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
