tokens,qtd_tokens,d365_trades,d365_winrate,d365_pnl_usd,d365_max_drawdown_usd,d365_profit_factor,d90_trades,d90_winrate,d90_pnl_usd,d90_max_drawdown_usd,d90_profit_factor,d30_trades,d30_winrate,d30_pnl_usd,d30_max_drawdown_usd,d30_profit_factor,score_robustez
03:48|BUY|Monday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,5,125,80.80000000000001,5210.0,-936.0,2.0504032258064515,36,77.77777777777779,956.0,-367.0,1.5106837606837606,10,70.0,5.0,-367.0,1.0071225071225072,21.793292114695344
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,5,130,80.76923076923077,5497.0,-835.0,2.0827260193027377,38,78.94736842105263,1158.0,-468.0,1.6185897435897436,10,70.0,5.0,-367.0,1.0071225071225072,22.269017517278442
03:48|BUY|Monday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|SELL|Monday,4,114,80.7017543859649,5195.5,-578.0,2.298388104460827,32,81.25,1127.0,-468.0,1.8027065527065527,10,70.0,5.0,-266.0,1.0071225071225072,22.548563543057316
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday,5,124,80.64516129032258,5397.0,-872.5,2.1633972838973916,32,87.5,1892.0,-266.0,3.0213675213675213,10,70.0,5.0,-234.0,1.0071225071225072,22.627413412929652
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,6,155,80.64516129032258,6160.0,-1101.0,1.957413739508859,42,83.33333333333334,1897.0,-500.0,2.158119658119658,13,76.92307692307693,308.0,-500.0,1.4387464387464388,23.09375038136163
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,6,160,80.625,6878.0,-816.5,2.1357331571994718,41,87.8048780487805,2466.0,-367.0,3.1076923076923078,10,80.0,340.0,-367.0,1.7264957264957266,24.649977059638495
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday,4,103,80.58252427184466,4431.5,-885.5,2.139935691318328,29,89.65517241379311,1924.0,-266.0,3.740740740740741,11,81.81818181818183,441.0,-266.0,1.9423076923076923,22.317855830101543
03:48|BUY|Monday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,6,149,80.53691275167785,6053.0,-968.0,2.0028164347249833,40,80.0,1360.0,-367.0,1.7264957264957266,10,70.0,5.0,-367.0,1.0071225071225072,22.641507709892768
10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,4,113,80.53097345132744,4598.0,-968.0,2.007891275756247,27,85.18518518518519,1387.0,-234.0,2.481837606837607,6,83.33333333333334,271.0,-234.0,2.158119658119658,22.116914546814918
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,6,154,80.51948051948052,6340.0,-867.0,2.0303916788558425,42,80.95238095238095,1562.0,-468.0,1.8344017094017093,10,70.0,5.0,-367.0,1.0071225071225072,23.10295877842294
03:48|BUY|Monday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|SELL|Monday,5,138,80.43478260869566,6038.5,-873.5,2.189266371245692,36,83.33333333333334,1531.0,-468.0,2.0904558404558404,10,70.0,5.0,-266.0,1.0071225071225072,23.064411298781927
03:48|BUY|Monday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,4,92,80.43478260869566,3606.5,-936.0,1.9325145442792502,28,78.57142857142857,818.0,-266.0,1.5826210826210827,11,72.72727272727273,106.0,-234.0,1.150997150997151,20.21142787008388
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,4,97,80.41237113402062,4324.5,-550.5,2.239289296460811,27,85.18518518518519,1387.0,-234.0,2.481837606837607,8,75.0,138.0,-234.0,1.294871794871795,22.063785669122133
03:48|BUY|Monday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,4,97,80.41237113402062,3983.5,-734.0,2.031059919761874,28,82.14285714285714,1153.0,-298.0,1.9854700854700855,10,70.0,5.0,-234.0,1.0071225071225072,20.928939890306793
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday,4,97,80.41237113402062,3893.5,-835.0,1.9771615008156607,30,80.0,1020.0,-468.0,1.7264957264957266,11,72.72727272727273,106.0,-298.0,1.150997150997151,20.71326225058136
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 20:58|BUY|Sunday,4,102,80.3921568627451,4611.5,-550.5,2.2786635241924302,29,86.20689655172413,1589.0,-266.0,2.697649572649573,8,75.0,138.0,-266.0,1.294871794871795,22.439224038053148
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday,6,153,80.3921568627451,6222.0,-803.5,2.0138504155124655,45,80.0,1530.0,-500.0,1.7264957264957266,17,70.58823529411765,42.0,-500.0,1.035897435897436,23.00097786649286
10:30|BUY|Friday ; 20:58|BUY|Sunday,2,56,80.35714285714286,2151.5,-936.0,1.8988928347608105,15,86.66666666666667,845.0,-234.0,2.8055555555555554,7,85.71428571428571,372.0,-234.0,2.58974358974359,19.76915473952272
03:48|BUY|Tuesday ; 20:58|BUY|Sunday,2,61,80.32786885245902,2869.5,-651.5,2.42371619945423,14,100.0,1414.0,0.0,999.0,4,100.0,404.0,0.0,999.0,22.67450308470013
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,5,127,80.31496062992126,5274.5,-917.5,2.062657399012793,33,90.9090909090909,2328.0,-266.0,4.316239316239316,11,81.81818181818183,441.0,-266.0,1.9423076923076923,23.087517098368554
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday,5,127,80.31496062992126,5579.0,-785.5,2.2606485142921704,38,86.8421052631579,2163.0,-532.0,2.848717948717949,14,71.42857142857143,74.0,-532.0,1.079059829059829,22.99917841187077
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|SELL|Friday,3,66,80.3030303030303,2405.0,-702.0,1.8158073270013568,19,84.21052631578947,914.0,-367.0,2.301994301994302,7,71.42857142857143,37.0,-367.0,1.079059829059829,19.331065244522428
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Friday,3,71,80.28169014084507,3123.0,-766.0,2.2151750972762647,18,94.44444444444444,1483.0,-234.0,7.337606837606837,4,75.0,69.0,-234.0,1.294871794871795,21.072566333582998
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday,7,177,80.22598870056498,7065.0,-1170.5,1.979481491751005,49,81.63265306122449,1934.0,-500.0,1.9183285849952516,17,70.58823529411765,42.0,-500.0,1.035897435897436,23.507624779574613
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday,4,111,80.18018018018019,4660.0,-1010.5,2.0926143024618993,30,80.0,1020.0,-367.0,1.7264957264957266,10,70.0,5.0,-234.0,1.0071225071225072,21.26013232047992
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,5,116,80.17241379310344,4449.5,-1069.0,1.9000708000404571,32,81.25,1222.0,-266.0,1.8703703703703705,11,72.72727272727273,106.0,-234.0,1.150997150997151,20.99667581571444
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,5,121,80.16528925619835,5167.5,-633.0,2.1318585039973716,31,87.09677419354838,1791.0,-234.0,2.9134615384615383,8,75.0,138.0,-234.0,1.294871794871795,22.787726139294627
03:48|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,5,121,80.16528925619835,4826.5,-766.0,1.9771231906063367,32,84.375,1557.0,-266.0,2.330769230769231,10,70.0,5.0,-234.0,1.0071225071225072,21.77290211622617
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,5,121,80.16528925619835,4736.5,-968.0,1.9359747060567138,34,82.35294117647058,1424.0,-468.0,2.0142450142450143,11,72.72727272727273,106.0,-298.0,1.150997150997151,21.475014326863715
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,5,126,80.15873015873017,5454.5,-651.5,2.164869193806727,33,87.87878787878788,1993.0,-266.0,3.1292735042735043,8,75.0,138.0,-266.0,1.294871794871795,23.127681603619138
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday,6,151,80.13245033112582,6422.0,-868.0,2.167318004180678,42,88.09523809523809,2567.0,-532.0,3.194017094017094,14,71.42857142857143,74.0,-532.0,1.079059829059829,23.71075351348374
03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,3,85,80.0,3712.5,-692.5,2.2008733624454146,18,100.0,1818.0,0.0,999.0,4,100.0,404.0,0.0,999.0,23.220873362445413
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,4,105,80.0,4579.0,-784.5,2.2018372703412075,28,92.85714285714286,2158.0,-234.0,5.611111111111111,8,87.5,473.0,-234.0,3.0213675213675213,23.01419441319835
03:48|BUY|Tuesday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday,3,85,80.0,4017.0,-601.0,2.5731349128646954,23,91.30434782608695,1653.0,-367.0,4.532051282051282,7,71.42857142857143,37.0,-367.0,1.079059829059829,22.125780875597616
10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,3,80,80.0,2994.5,-1069.0,1.8630926646490849,19,89.47368421052632,1249.0,-234.0,3.6688034188034186,7,85.71428571428571,372.0,-234.0,2.58974358974359,20.547991160889687
03:48|BUY|Monday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,4,100,80.0,3861.0,-1170.0,1.921919770773639,29,86.20689655172413,1589.0,-266.0,2.697649572649573,11,81.81818181818183,441.0,-266.0,1.9423076923076923,21.014173689268937
10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday,3,80,80.0,3299.0,-937.0,2.125362442435613,24,83.33333333333334,1084.0,-500.0,2.158119658119658,10,70.0,5.0,-500.0,1.0071225071225072,20.15402910910228
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday,5,135,80.0,5503.0,-1207.5,2.0303313986144915,34,82.35294117647058,1424.0,-367.0,2.0142450142450143,10,70.0,5.0,-234.0,1.0071225071225072,21.943478457438022
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,6,155,80.0,6369.5,-808.5,2.051159336578926,44,81.81818181818183,1764.0,-367.0,1.9423076923076923,14,71.42857142857143,74.0,-367.0,1.079059829059829,23.274496998916593
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday,4,100,80.0,3948.0,-702.0,1.9705014749262537,31,80.64516129032258,1121.0,-601.0,1.7984330484330484,11,72.72727272727273,106.0,-601.0,1.150997150997151,20.885123175806022
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,6,155,80.0,6279.5,-683.5,2.0160181215112045,46,80.43478260869566,1631.0,-500.0,1.7744539411206077,15,73.33333333333333,175.0,-500.0,1.186965811965812,23.300423918612655
03:48|SELL|Friday ; 20:58|BUY|Sunday,2,55,80.0,2331.5,-601.0,2.1036686390532546,15,80.0,510.0,-399.0,1.7264957264957266,4,75.0,69.0,0.0,1.294871794871795,19.584168639053253
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,6,150,80.0,5992.5,-683.5,1.9882905912426816,44,79.54545454545455,1429.0,-399.0,1.6785375118708452,15,73.33333333333333,175.0,-399.0,1.186965811965812,22.941229985182076
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,6,150,80.0,5651.5,-867.0,1.8779029126213593,45,77.77777777777779,1195.0,-500.0,1.5106837606837606,17,70.58823529411765,42.0,-500.0,1.035897435897436,22.080703566216133
20:58|BUY|Sunday ; 20:58|SELL|Sunday,2,50,80.0,2044.5,-702.0,2.0245552493109495,13,76.92307692307693,308.0,-234.0,1.4387464387464388,4,75.0,69.0,0.0,1.294871794871795,18.963209095464798
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,7,179,79.88826815642457,7212.5,-1037.5,2.0107911148482938,48,83.33333333333334,2168.0,-367.0,2.158119658119658,14,71.42857142857143,74.0,-367.0,1.079059829059829,23.912713168585988
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,7,179,79.88826815642457,7122.5,-911.0,1.9815337972851925,50,82.0,2035.0,-500.0,1.966286799620133,15,73.33333333333333,175.0,-500.0,1.186965811965812,23.948527279594316
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,7,174,79.88505747126436,6835.5,-766.0,1.9574199873940752,48,81.25,1833.0,-399.0,1.8703703703703705,15,73.33333333333333,175.0,-399.0,1.186965811965812,23.744592401187177
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,7,174,79.88505747126436,6494.5,-899.0,1.864377453916284,49,79.59183673469387,1599.0,-500.0,1.6833333333333333,17,70.58823529411765,42.0,-500.0,1.035897435897436,22.9573868024833
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,5,129,79.84496124031007,5422.0,-816.5,2.1097011870650837,32,93.75,2562.0,-234.0,6.4743589743589745,8,87.5,473.0,-234.0,3.0213675213675213,23.76219731109609
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday,5,129,79.84496124031007,5726.5,-735.0,2.317042318307268,37,89.1891891891892,2397.0,-399.0,3.5608974358974357,11,72.72727272727273,106.0,-399.0,1.150997150997151,23.388861538161372
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,5,124,79.83870967741935,4704.0,-1202.0,1.8936170212765957,33,87.87878787878788,1993.0,-266.0,3.1292735042735043,11,81.81818181818183,441.0,-266.0,1.9423076923076923,21.86433647386702
03:48|BUY|Monday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday,5,124,79.83870967741935,5008.5,-1171.0,2.059775708844689,38,84.21052631578947,1828.0,-500.0,2.301994301994302,14,71.42857142857143,74.0,-500.0,1.079059829059829,21.66310156380467
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday,5,124,79.83870967741935,4791.0,-1064.0,1.9313763608087091,35,82.85714285714286,1525.0,-601.0,2.086182336182336,11,72.72727272727273,106.0,-601.0,1.150997150997151,21.421468107771425
03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,4,114,79.82456140350878,4537.5,-784.5,1.9886697897374441,31,83.87096774193549,1456.0,-468.0,2.2444444444444445,11,81.81818181818183,441.0,-468.0,1.9423076923076923,22.00858340809419
03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday,4,109,79.81651376146789,4860.0,-634.0,2.339027414244386,27,92.5925925925926,2057.0,-367.0,5.395299145299146,7,71.42857142857143,37.0,-367.0,1.079059829059829,22.74773699144938
